team,team_code,coach_block,coach_nationality,source_page,source
Algeria,ALG,PETKOVIC Vladimir Vladimir PETKOVIĆ,Switzerland,1,fifa_squad_pdf
Argentina,ARG,SCALONI Lionel Lionel Sebastián SCALONI,Argentina,2,fifa_squad_pdf
Australia,AUS,POPOVIC Tony Tony POPOVIC,Australia,3,fifa_squad_pdf
Austria,AUT,RANGNICK Ralf Ralf Dietrich RANGNICK,Germany,4,fifa_squad_pdf
Belgium,BEL,GARCIA Rudi Rudi José GARCIA,France,5,fifa_squad_pdf
Bosnia A nd Herzegovina,BIH,BARBAREZ Ser gej Sergej BARBAREZ Bosnia And Herz,egovina,6,fifa_squad_pdf
Brazil,BRA,ANCELOTTI Carlo Carlo ANCELOTTI,Italy,7,fifa_squad_pdf
Cabo Verde,CPV,BUBISTA Pedro LEITÃO BRITO Cabo,Verde,8,fifa_squad_pdf
Canada,CAN,MARSCH Jesse Jesse Alan MARSCH,USA,9,fifa_squad_pdf
Colombia,COL,LORENZO Nestor Nestor Gabriel LORENZO,Argentina,10,fifa_squad_pdf
DR Congo,COD,DESABRE Sebastien Sebastien Ser ge Louis DESABRE,France,11,fifa_squad_pdf
Côte D'Iv oire,CIV,FAE Emerse Emerse FAE Côte D'Iv,oire,12,fifa_squad_pdf
Croatia,CRO,DALIC Zlatko Zlatko DALIĆ,Croatia,13,fifa_squad_pdf
Curaçao,CUW,ADVOCAAT Dick Dirk Nicolaas ADVOCAAT,Netherlands,14,fifa_squad_pdf
Czechia,CZE,KOUBEK Mir oslav Miroslav KOUBEK,Czech Republic,15,fifa_squad_pdf
Ecuador,ECU,BECCACECE Sebastian Sebastián Andr és BECCACECE,Argentina,16,fifa_squad_pdf
Egypt,EGY,HOSSAM H ASSAN Hossam Hassan Hassanein HASSAN,Egypt,17,fifa_squad_pdf
England,ENG,TUCHEL Thomas Thomas TUCHEL,Germany,18,fifa_squad_pdf
France,FRA,DESCHAMPS Didier Didier Claude DESCHAMPS,France,19,fifa_squad_pdf
Germany,GER,NAGELSMANN Julian Julian NAGELSMANN,Germany,20,fifa_squad_pdf
Ghana,GHA,CARLOS QUEIRO Z Carlos Manuel BRITO LEAL DE QUEIRO Z,Portugal,21,fifa_squad_pdf
Haiti,HAI,MIGNE Sebastien Sébastien Bernar d Henri C MIGNÉ,France,22,fifa_squad_pdf
IR Iran,IRN,GHALEHNO Y Amir Ardeshir GHALEHNO Y IR,Iran,23,fifa_squad_pdf
Iraq,IRQ,ARNOLD Gr aham Graham James ARNOLD,Australia,24,fifa_squad_pdf
Japan,JPN,MORIYASU Hajime Hajime MORIYASU,Japan,25,fifa_squad_pdf
Jordan,JOR,SELLAMI Jamal Jamal SELLAMI,Morocco,26,fifa_squad_pdf
South Korea,KOR,HONG Myungbo Myung Bo HONG,South Korea,27,fifa_squad_pdf
Mexico,MEX,AGUIRRE Ja vier Javier AGUIRRE ON AINDIA,Mexico,28,fifa_squad_pdf
Morocco,MAR,OUAHBI Mohamed Mohamed OUAHBI,Morocco,29,fifa_squad_pdf
Netherlands,NED,KOEMAN Ronald Ronald KOEMAN,Netherlands,30,fifa_squad_pdf
New Zealand,NZL,BAZELEY Darr en Darren Shaun BAZELEY,New Zealand,31,fifa_squad_pdf
Norway,NOR,SOLBAKKEN Stale Ståle SOLBAKKEN,Norway,32,fifa_squad_pdf
Panama,PAN,CHRISTIANSEN Thomas Thomas CHRISTIANSEN T ARIN,Spain,33,fifa_squad_pdf
Paraguay,PAR,ALFARO Gusta vo Gustavo Julio ALFARO,Argentina,34,fifa_squad_pdf
Portugal,POR,MARTINEZ Rober to Roberto MARTÍNEZ MON TOLIU,Spain,35,fifa_squad_pdf
Qatar,QAT,LOPETEGUI Julen Julian LOPETEGUI ARGO TE,Spain,36,fifa_squad_pdf
Saudi Arabia,KSA,DONIS Geor gios Georgios DONIS,Greece,37,fifa_squad_pdf
Scotland,SCO,CLARKE Ste ve Stephen CLARKE,Scotland,38,fifa_squad_pdf
Senegal,SEN,THIAW Pape Pape Bouna THIAW,Senegal,39,fifa_squad_pdf
South Africa,RSA,BROOS Hugo Hugo Henri BROOS,Belgium,40,fifa_squad_pdf
Spain,ESP,DE LA FUENTE Luis Luis DE LA FUENTE CASTILL O,Spain,41,fifa_squad_pdf
Sweden,SWE,POTTER Graham Graham Stephen POTTER,England,42,fifa_squad_pdf
Switzerland,SUI,YAKIN Mur at Murat YAKIN,Switzerland,43,fifa_squad_pdf
Tunisia,TUN,LAMOUCHI Sabri Sabri LAMOUCHI,France,44,fifa_squad_pdf
Turkey,TUR,MONTELLA Vincenz o Vincenzo MONTELLA,Italy,45,fifa_squad_pdf
Uruguay,URU,BIELSA Mar celo Marcelo Alber to BIELSA,Argentina,46,fifa_squad_pdf
United States,USA,POCHETTINO Mauricio Mauricio Rober to POCHETTINO TROSSERO,Argentina,47,fifa_squad_pdf
Uzbekistan,UZB,CANNAVARO Fabio Fabio CANNAVARO,Italy,48,fifa_squad_pdf
